tickers,num,qubit_num,similarity
"['ADBE', 'AMGN', 'WBA', 'PAYX', 'ORLY', 'LCID']",6,12,0.9999940775431851
"['SBUX', 'ZS', 'AMAT']",3,12,0.9999997265358536
"['AMGN', 'LCID', 'AMAT', 'MRNA']",4,12,0.999999943656813
"['INTC', 'MSFT', 'AVGO', 'QCOM']",4,12,0.9999919635045432
"['KDP', 'VRTX', 'SIRI', 'ADI']",4,12,0.9999999105899168
"['MSFT', 'ZS', 'CTAS']",3,12,0.9999999274538044
"['NXPI', 'GILD', 'MCHP', 'LULU', 'SGEN']",5,13,0.999999897050938
"['CMCSA', 'VRSK', 'ATVI', 'TEAM']",4,12,0.9999998220847728
"['PCAR', 'MSFT', 'AEP', 'ZS']",4,12,0.9999995226296976
"['TSLA', 'CMCSA', 'COST', 'ORLY', 'MCHP']",5,12,0.9999989097750028
"['ATVI', 'ALGN', 'WDAY', 'MCHP']",4,12,0.9999998452019944
"['AVGO', 'MELI', 'PDD', 'PAYX']",4,12,0.9999998617942124
"['CMCSA', 'TEAM', 'ZS', 'KHC']",4,12,0.999999981714662
"['ROST', 'CTSH', 'VRSK']",3,12,0.9999989648297576
"['WBA', 'ANSS', 'GOOGL', 'DDOG', 'SGEN', 'CSX']",6,13,0.9999973931033888
"['PAYX', 'CPRT', 'CSGP', 'CSX']",4,12,0.1356993025347277
"['ADI', 'DLTR', 'AMAT', 'LRCX', 'INTU']",5,12,0.992477695921798
"['RIVN', 'QCOM', 'MELI', 'FTNT', 'MDLZ']",5,12,0.9999999198463368
"['SNPS', 'QCOM', 'KHC', 'GOOG']",4,12,0.999999562547559
"['MRVL', 'ABNB', 'BKR', 'MU', 'META']",5,12,0.999999992970793
"['MRVL', 'SGEN', 'MDLZ', 'NXPI', 'SIRI', 'ADI']",6,13,0.9999997582781026
"['PANW', 'AMZN', 'FAST', 'AAPL', 'ADP', 'ADI']",6,13,0.9999987864539934
"['MRNA', 'MSFT', 'AMGN']",3,12,0.999999312193927
"['AVGO', 'CRWD', 'AMD', 'EXC', 'CTAS', 'ODFL']",6,13,0.9999894761063298
"['CPRT', 'KLAC', 'SIRI']",3,13,0.1389798515529829
"['MAR', 'CSX', 'AMD', 'CTAS', 'INTU']",5,13,0.9999999919153824
"['AMGN', 'PYPL', 'EXC', 'SIRI', 'TXN', 'CSGP']",6,12,0.9999977477238856
"['MU', 'DDOG', 'FAST', 'REGN', 'KLAC']",5,12,0.9999999376883196
"['ADP', 'FTNT', 'MU', 'GOOGL', 'ADSK', 'ORLY']",6,12,0.9999987853149264
"['MRVL', 'QCOM', 'TEAM', 'HON', 'TXN']",5,12,0.9643366937443364
"['MDLZ', 'ILMN', 'WDAY']",3,12,0.9999996774534065
"['CSX', 'NFLX', 'PEP', 'DXCM', 'ADI', 'ADP']",6,12,0.9999948002634588
"['ZM', 'CHTR', 'BKR', 'ODFL', 'AVGO']",5,12,0.9999997053396112
